[11:49:10.164] Odometry x=0.000000, y=-0.000000, theta=0.000000
[11:49:10.529] Odometry x=0.000000, y=-0.000000, theta=-0.003010
[11:49:10.539] Odometry x=0.000000, y=-0.000000, theta=-0.003321
[11:49:10.549] Odometry x=0.000000, y=-0.000000, theta=-0.003638
[11:49:10.559] Odometry x=0.000000, y=-0.000000, theta=-0.003959
[11:49:10.569] Odometry x=0.000000, y=-0.000000, theta=-0.004278
[11:49:10.579] Odometry x=0.000000, y=-0.000000, theta=-0.004593
[11:49:10.589] Odometry x=0.000000, y=-0.000000, theta=-0.004911
[11:49:10.600] Odometry x=0.000000, y=-0.000000, theta=-0.005336
[11:49:10.610] Odometry x=0.000000, y=-0.000000, theta=-0.005722
[11:49:10.620] Odometry x=0.000000, y=-0.000000, theta=-0.006035
[11:49:10.630] Odometry x=0.000000, y=-0.000000, theta=-0.006348
[11:49:10.640] Odometry x=0.000000, y=-0.000000, theta=-0.006664
[11:49:10.651] Odometry x=0.000000, y=-0.000000, theta=-0.006979
[11:49:10.661] Odometry x=0.000001, y=-0.000000, theta=-0.007295
[11:49:10.671] Odometry x=0.000001, y=-0.000000, theta=-0.007613
[11:49:10.681] Odometry x=0.000001, y=-0.000000, theta=-0.007934
[11:49:10.691] Odometry x=0.000001, y=-0.000000, theta=-0.008254
[11:49:10.701] Odometry x=0.000001, y=-0.000000, theta=-0.008570
[11:49:10.710] Init: frame zero: 0.000000, 0.000000 0.000000
[11:49:10.710] Init: Selected first frame. 
[11:49:10.711] Odometry x=0.000001, y=-0.000000, theta=-0.008885
[11:49:10.721] Odometry x=0.000001, y=-0.000000, theta=-0.009201
[11:49:10.731] Odometry x=0.000001, y=-0.000000, theta=-0.009523
[11:49:10.741] Odometry x=0.000001, y=-0.000000, theta=-0.009838
[11:49:10.751] Odometry x=0.000001, y=-0.000000, theta=-0.010147
[11:49:10.762] Odometry x=0.000001, y=-0.000000, theta=-0.010463
[11:49:10.772] Odometry x=0.000001, y=-0.000000, theta=-0.010787
[11:49:10.782] Odometry x=0.000001, y=-0.000000, theta=-0.011104
[11:49:10.792] Odometry x=0.000001, y=-0.000000, theta=-0.011416
[11:49:10.802] Odometry x=0.000001, y=-0.000000, theta=-0.011731
[11:49:10.812] Odometry x=0.000001, y=-0.000000, theta=-0.012053
[11:49:10.822] Odometry x=0.000001, y=-0.000000, theta=-0.012473
[11:49:10.827] Init: px average disparity is:0.214267 ,While minimum is: 40.000000  KLT tracked : 106
[11:49:10.827] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:10.833] Odometry x=0.000001, y=-0.000000, theta=-0.012860
[11:49:10.843] Odometry x=0.000001, y=-0.000000, theta=-0.013181
[11:49:10.853] Odometry x=0.000001, y=-0.000000, theta=-0.013494
[11:49:10.863] Odometry x=0.000001, y=-0.000000, theta=-0.013711
[11:49:10.873] Odometry x=0.000001, y=-0.000000, theta=-0.014063
[11:49:10.883] Odometry x=0.000001, y=-0.000000, theta=-0.014439
[11:49:10.893] Odometry x=0.000001, y=-0.000000, theta=-0.014753
[11:49:10.903] Odometry x=0.000001, y=-0.000000, theta=-0.015063
[11:49:10.913] Odometry x=0.000001, y=-0.000000, theta=-0.015380
[11:49:10.914] Init: px average disparity is:0.335530 ,While minimum is: 40.000000  KLT tracked : 103
[11:49:10.914] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:10.924] Odometry x=0.000001, y=-0.000000, theta=-0.015695
[11:49:10.934] Odometry x=0.000001, y=-0.000000, theta=-0.016009
[11:49:10.944] Odometry x=0.000001, y=-0.000000, theta=-0.016327
[11:49:10.954] Odometry x=0.000001, y=-0.000000, theta=-0.016645
[11:49:10.964] Odometry x=0.000001, y=-0.000000, theta=-0.016967
[11:49:10.974] Odometry x=0.000001, y=-0.000000, theta=-0.017289
[11:49:10.984] Odometry x=0.000001, y=-0.000000, theta=-0.017607
[11:49:10.995] Odometry x=0.000001, y=-0.000000, theta=-0.017823
[11:49:11.005] Odometry x=0.000001, y=-0.000000, theta=-0.018172
[11:49:11.015] Odometry x=0.000001, y=-0.000000, theta=-0.018553
[11:49:11.021] Init: px average disparity is:0.416572 ,While minimum is: 40.000000  KLT tracked : 102
[11:49:11.022] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.025] Odometry x=0.000001, y=-0.000000, theta=-0.018873
[11:49:11.035] Odometry x=0.000001, y=-0.000000, theta=-0.019194
[11:49:11.045] Odometry x=0.000001, y=-0.000000, theta=-0.019518
[11:49:11.055] Odometry x=0.000001, y=-0.000000, theta=-0.019840
[11:49:11.065] Odometry x=0.000001, y=-0.000000, theta=-0.020156
[11:49:11.076] Odometry x=0.000001, y=-0.000000, theta=-0.020476
[11:49:11.086] Odometry x=0.000001, y=-0.000000, theta=-0.020798
[11:49:11.096] Odometry x=0.000001, y=-0.000000, theta=-0.021116
[11:49:11.106] Odometry x=0.000001, y=-0.000000, theta=-0.021432
[11:49:11.110] Init: px average disparity is:0.376134 ,While minimum is: 40.000000  KLT tracked : 102
[11:49:11.111] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.116] Odometry x=0.000001, y=-0.000000, theta=-0.021752
[11:49:11.126] Odometry x=0.000002, y=-0.000000, theta=-0.022069
[11:49:11.136] Odometry x=0.000002, y=-0.000000, theta=-0.022392
[11:49:11.146] Odometry x=0.000002, y=-0.000000, theta=-0.022713
[11:49:11.156] Odometry x=0.000002, y=-0.000000, theta=-0.023026
[11:49:11.167] Odometry x=0.000002, y=-0.000000, theta=-0.023338
[11:49:11.177] Odometry x=0.000002, y=-0.000000, theta=-0.023651
[11:49:11.187] Odometry x=0.000002, y=-0.000000, theta=-0.023966
[11:49:11.197] Odometry x=0.000002, y=-0.000000, theta=-0.024281
[11:49:11.207] Odometry x=0.000002, y=-0.000000, theta=-0.024597
[11:49:11.218] Odometry x=0.000002, y=-0.000000, theta=-0.025018
[11:49:11.220] Init: px average disparity is:0.430333 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.220] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.228] Odometry x=0.000002, y=-0.000000, theta=-0.025399
[11:49:11.238] Odometry x=0.000002, y=-0.000000, theta=-0.025714
[11:49:11.248] Odometry x=0.000002, y=-0.000000, theta=-0.026035
[11:49:11.258] Odometry x=0.000002, y=-0.000000, theta=-0.026351
[11:49:11.268] Odometry x=0.000002, y=-0.000000, theta=-0.026661
[11:49:11.278] Odometry x=0.000002, y=-0.000000, theta=-0.026980
[11:49:11.288] Odometry x=0.000002, y=-0.000000, theta=-0.027296
[11:49:11.298] Odometry x=0.000002, y=-0.000000, theta=-0.027511
[11:49:11.309] Odometry x=0.000002, y=-0.000000, theta=-0.027868
[11:49:11.315] Init: px average disparity is:0.430722 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.315] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.319] Odometry x=0.000002, y=-0.000000, theta=-0.028252
[11:49:11.329] Odometry x=0.000002, y=-0.000000, theta=-0.028576
[11:49:11.339] Odometry x=0.000002, y=-0.000000, theta=-0.028898
[11:49:11.349] Odometry x=0.000002, y=-0.000000, theta=-0.029216
[11:49:11.359] Odometry x=0.000002, y=-0.000000, theta=-0.029532
[11:49:11.369] Odometry x=0.000002, y=-0.000000, theta=-0.029852
[11:49:11.379] Odometry x=0.000002, y=-0.000000, theta=-0.030173
[11:49:11.390] Odometry x=0.000002, y=-0.000000, theta=-0.030503
[11:49:11.400] Odometry x=0.000002, y=-0.000000, theta=-0.030822
[11:49:11.410] Odometry x=0.000002, y=-0.000000, theta=-0.031028
[11:49:11.411] Init: px average disparity is:0.460291 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.411] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.420] Odometry x=0.000002, y=-0.000000, theta=-0.031378
[11:49:11.430] Odometry x=0.000002, y=-0.000000, theta=-0.031753
[11:49:11.440] Odometry x=0.000002, y=-0.000000, theta=-0.032068
[11:49:11.450] Odometry x=0.000002, y=-0.000000, theta=-0.032393
[11:49:11.460] Odometry x=0.000002, y=-0.000000, theta=-0.032720
[11:49:11.470] Odometry x=0.000002, y=-0.000000, theta=-0.033037
[11:49:11.480] Odometry x=0.000002, y=-0.000000, theta=-0.033352
[11:49:11.491] Odometry x=0.000002, y=-0.000000, theta=-0.033670
[11:49:11.501] Odometry x=0.000002, y=-0.000000, theta=-0.033988
[11:49:11.511] Odometry x=0.000002, y=-0.000000, theta=-0.034308
[11:49:11.511] Init: px average disparity is:0.444402 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.511] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.521] Odometry x=0.000002, y=-0.000000, theta=-0.034623
[11:49:11.531] Odometry x=0.000002, y=-0.000000, theta=-0.034833
[11:49:11.541] Odometry x=0.000002, y=-0.000000, theta=-0.035089
[11:49:11.551] Odometry x=0.000002, y=-0.000000, theta=-0.035408
[11:49:11.561] Odometry x=0.000002, y=-0.000000, theta=-0.035720
[11:49:11.572] Odometry x=0.000002, y=-0.000000, theta=-0.036034
[11:49:11.582] Odometry x=0.000003, y=-0.000000, theta=-0.036350
[11:49:11.592] Odometry x=0.000003, y=-0.000000, theta=-0.036669
[11:49:11.602] Odometry x=0.000003, y=-0.000000, theta=-0.036896
[11:49:11.612] Odometry x=0.000003, y=-0.000000, theta=-0.037253
[11:49:11.622] Odometry x=0.000003, y=-0.000000, theta=-0.037733
[11:49:11.624] Init: px average disparity is:0.451214 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.624] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.633] Odometry x=0.000003, y=-0.000000, theta=-0.038009
[11:49:11.643] Odometry x=0.000003, y=-0.000000, theta=-0.038372
[11:49:11.653] Odometry x=0.000003, y=-0.000000, theta=-0.038653
[11:49:11.663] Odometry x=0.000003, y=-0.000000, theta=-0.039013
[11:49:11.673] Odometry x=0.000003, y=-0.000000, theta=-0.039417
[11:49:11.683] Odometry x=0.000003, y=-0.000000, theta=-0.039755
[11:49:11.693] Odometry x=0.000003, y=-0.000000, theta=-0.040083
[11:49:11.704] Odometry x=0.000003, y=-0.000000, theta=-0.040496
[11:49:11.712] Init: px average disparity is:0.447031 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.712] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.714] Odometry x=0.000003, y=-0.000000, theta=-0.040783
[11:49:11.724] Odometry x=0.000003, y=-0.000000, theta=-0.041134
[11:49:11.734] Odometry x=0.000003, y=-0.000000, theta=-0.041504
[11:49:11.744] Odometry x=0.000003, y=-0.000000, theta=-0.041825
[11:49:11.754] Odometry x=0.000003, y=-0.000000, theta=-0.042055
[11:49:11.764] Odometry x=0.000003, y=-0.000000, theta=-0.042407
[11:49:11.774] Odometry x=0.000003, y=-0.000000, theta=-0.042779
[11:49:11.784] Odometry x=0.000003, y=-0.000000, theta=-0.043103
[11:49:11.794] Odometry x=0.000003, y=-0.000000, theta=-0.043417
[11:49:11.804] Odometry x=0.000003, y=-0.000000, theta=-0.043723
[11:49:11.812] Init: px average disparity is:0.474195 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.812] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.815] Odometry x=0.000003, y=-0.000000, theta=-0.044038
[11:49:11.825] Odometry x=0.000003, y=-0.000000, theta=-0.044351
[11:49:11.835] Odometry x=0.000003, y=-0.000000, theta=-0.044670
[11:49:11.845] Odometry x=0.000003, y=-0.000000, theta=-0.045020
[11:49:11.855] Odometry x=0.000003, y=-0.000000, theta=-0.045353
[11:49:11.865] Odometry x=0.000003, y=-0.000000, theta=-0.045575
[11:49:11.876] Odometry x=0.000003, y=-0.000000, theta=-0.045933
[11:49:11.886] Odometry x=0.000003, y=-0.000000, theta=-0.046310
[11:49:11.896] Odometry x=0.000003, y=-0.000000, theta=-0.046527
[11:49:11.906] Odometry x=0.000003, y=-0.000000, theta=-0.046882
[11:49:11.916] Odometry x=0.000003, y=-0.000000, theta=-0.047161
[11:49:11.924] Init: px average disparity is:0.454446 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:11.924] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:11.926] Odometry x=0.000003, y=-0.000000, theta=-0.047425
[11:49:11.937] Odometry x=0.000003, y=-0.000000, theta=-0.047837
[11:49:11.947] Odometry x=0.000003, y=-0.000000, theta=-0.048219
[11:49:11.957] Odometry x=0.000003, y=-0.000000, theta=-0.048542
[11:49:11.967] Odometry x=0.000003, y=-0.000000, theta=-0.048763
[11:49:11.977] Odometry x=0.000003, y=-0.000000, theta=-0.049107
[11:49:11.987] Odometry x=0.000003, y=-0.000000, theta=-0.049477
[11:49:11.998] Odometry x=0.000003, y=-0.000000, theta=-0.049699
[11:49:12.008] Odometry x=0.000004, y=-0.000000, theta=-0.050058
[11:49:12.018] Odometry x=0.000004, y=-0.000000, theta=-0.050438
[11:49:12.019] Init: px average disparity is:0.465875 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:12.019] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.028] Odometry x=0.000004, y=-0.000000, theta=-0.050756
[11:49:12.038] Odometry x=0.000004, y=-0.000000, theta=-0.050972
[11:49:12.048] Odometry x=0.000004, y=-0.000000, theta=-0.051315
[11:49:12.058] Odometry x=0.000004, y=-0.000000, theta=-0.051688
[11:49:12.068] Odometry x=0.000004, y=-0.000000, theta=-0.052009
[11:49:12.079] Odometry x=0.000004, y=-0.000000, theta=-0.052327
[11:49:12.089] Odometry x=0.000004, y=-0.000000, theta=-0.052648
[11:49:12.099] Odometry x=0.000004, y=-0.000000, theta=-0.052873
[11:49:12.109] Odometry x=0.000004, y=-0.000000, theta=-0.053227
[11:49:12.117] Init: px average disparity is:0.415874 ,While minimum is: 40.000000  KLT tracked : 99
[11:49:12.117] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.119] Odometry x=0.000004, y=-0.000000, theta=-0.053714
[11:49:12.129] Odometry x=0.000004, y=-0.000000, theta=-0.054008
[11:49:12.140] Odometry x=0.000004, y=-0.000000, theta=-0.054368
[11:49:12.150] Odometry x=0.000004, y=-0.000000, theta=-0.054748
[11:49:12.160] Odometry x=0.000004, y=-0.000000, theta=-0.055072
[11:49:12.170] Odometry x=0.000004, y=-0.000000, theta=-0.055390
[11:49:12.180] Odometry x=0.000004, y=-0.000000, theta=-0.055710
[11:49:12.190] Odometry x=0.000004, y=-0.000000, theta=-0.056031
[11:49:12.200] Odometry x=0.000004, y=-0.000000, theta=-0.056254
[11:49:12.211] Odometry x=0.000004, y=-0.000000, theta=-0.056513
[11:49:12.212] Init: px average disparity is:0.425993 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.212] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.221] Odometry x=0.000004, y=-0.000000, theta=-0.056731
[11:49:12.231] Odometry x=0.000004, y=-0.000000, theta=-0.057091
[11:49:12.241] Odometry x=0.000004, y=-0.000000, theta=-0.057472
[11:49:12.251] Odometry x=0.000004, y=-0.000001, theta=-0.057883
[11:49:12.262] Odometry x=0.000004, y=-0.000001, theta=-0.058160
[11:49:12.272] Odometry x=0.000004, y=-0.000001, theta=-0.058513
[11:49:12.282] Odometry x=0.000004, y=-0.000001, theta=-0.058887
[11:49:12.292] Odometry x=0.000004, y=-0.000001, theta=-0.059207
[11:49:12.302] Odometry x=0.000004, y=-0.000001, theta=-0.059522
[11:49:12.312] Odometry x=0.000004, y=-0.000001, theta=-0.059840
[11:49:12.318] Init: px average disparity is:0.452366 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.318] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.322] Odometry x=0.000004, y=-0.000001, theta=-0.060161
[11:49:12.332] Odometry x=0.000004, y=-0.000001, theta=-0.060483
[11:49:12.343] Odometry x=0.000004, y=-0.000001, theta=-0.060817
[11:49:12.353] Odometry x=0.000004, y=-0.000001, theta=-0.061133
[11:49:12.363] Odometry x=0.000004, y=-0.000001, theta=-0.061347
[11:49:12.373] Odometry x=0.000004, y=-0.000001, theta=-0.061709
[11:49:12.383] Odometry x=0.000004, y=-0.000001, theta=-0.062094
[11:49:12.393] Odometry x=0.000004, y=-0.000001, theta=-0.062422
[11:49:12.403] Odometry x=0.000004, y=-0.000001, theta=-0.062737
[11:49:12.413] Odometry x=0.000004, y=-0.000001, theta=-0.063056
[11:49:12.417] Init: px average disparity is:0.465272 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.417] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.433] Odometry x=0.000005, y=-0.000001, theta=-0.063569
[11:49:12.444] Odometry x=0.000005, y=-0.000001, theta=-0.064005
[11:49:12.454] Odometry x=0.000005, y=-0.000001, theta=-0.064325
[11:49:12.464] Odometry x=0.000005, y=-0.000001, theta=-0.064545
[11:49:12.474] Odometry x=0.000005, y=-0.000001, theta=-0.064905
[11:49:12.484] Odometry x=0.000005, y=-0.000001, theta=-0.065239
[11:49:12.494] Odometry x=0.000005, y=-0.000001, theta=-0.065751
[11:49:12.504] Odometry x=0.000005, y=-0.000000, theta=-0.067727
[11:49:12.514] Odometry x=0.000005, y=0.000000, theta=-0.071349
[11:49:12.524] Init: px average disparity is:5.953571 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.524] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.535] Odometry x=0.000093, y=-0.000000, theta=-0.007897
[11:49:12.545] Odometry x=0.000096, y=-0.000003, theta=-0.013077
[11:49:12.555] Odometry x=0.000100, y=-0.000004, theta=-0.015463
[11:49:12.565] Odometry x=0.000104, y=-0.000004, theta=-0.015480
[11:49:12.575] Odometry x=0.000108, y=-0.000004, theta=-0.013956
[11:49:12.585] Odometry x=0.000110, y=-0.000003, theta=-0.012383
[11:49:12.595] Odometry x=0.000111, y=-0.000003, theta=-0.011160
[11:49:12.606] Odometry x=0.000111, y=-0.000002, theta=-0.010084
[11:49:12.613] Init: px average disparity is:4.364587 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.613] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.616] Odometry x=0.000111, y=-0.000001, theta=-0.009332
[11:49:12.636] Odometry x=0.000193, y=-0.000002, theta=-0.007742
[11:49:12.646] Odometry x=0.000193, y=-0.000002, theta=-0.006891
[11:49:12.656] Odometry x=0.000193, y=-0.000002, theta=-0.006483
[11:49:12.666] Odometry x=0.000193, y=-0.000003, theta=-0.005826
[11:49:12.676] Odometry x=0.000194, y=-0.000006, theta=-0.005075
[11:49:12.686] Odometry x=0.000194, y=-0.000010, theta=-0.004400
[11:49:12.697] Odometry x=0.000194, y=-0.000013, theta=-0.003936
[11:49:12.707] Odometry x=0.000194, y=-0.000020, theta=-0.003710
[11:49:12.712] Init: px average disparity is:8.420598 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.712] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.717] Odometry x=0.000194, y=-0.000027, theta=-0.003862
[11:49:12.737] Odometry x=0.000285, y=-0.000036, theta=-0.004452
[11:49:12.747] Odometry x=0.000285, y=-0.000040, theta=-0.004646
[11:49:12.757] Odometry x=0.000285, y=-0.000042, theta=-0.004477
[11:49:12.767] Odometry x=0.000285, y=-0.000043, theta=-0.004266
[11:49:12.778] Odometry x=0.000285, y=-0.000044, theta=-0.004217
[11:49:12.788] Odometry x=0.000285, y=-0.000045, theta=-0.004292
[11:49:12.798] Odometry x=0.000285, y=-0.000045, theta=-0.004545
[11:49:12.808] Odometry x=0.000286, y=-0.000045, theta=-0.004833
[11:49:12.814] Init: px average disparity is:7.248514 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.815] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.818] Odometry x=0.000287, y=-0.000045, theta=-0.005463
[11:49:12.838] Odometry x=0.000375, y=-0.000045, theta=-0.008879
[11:49:12.849] Odometry x=0.000376, y=-0.000045, theta=-0.010934
[11:49:12.859] Odometry x=0.000376, y=-0.000045, theta=-0.011961
[11:49:12.869] Odometry x=0.000376, y=-0.000045, theta=-0.012862
[11:49:12.879] Odometry x=0.000376, y=-0.000045, theta=-0.013552
[11:49:12.889] Odometry x=0.000375, y=-0.000045, theta=-0.014013
[11:49:12.899] Odometry x=0.000375, y=-0.000045, theta=-0.014333
[11:49:12.909] Odometry x=0.000375, y=-0.000046, theta=-0.014291
[11:49:12.911] Init: px average disparity is:10.664209 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:12.911] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:12.920] Odometry x=0.000375, y=-0.000047, theta=-0.013509
[11:49:12.940] Odometry x=0.000467, y=-0.000049, theta=-0.013542
[11:49:12.950] Odometry x=0.000468, y=-0.000049, theta=-0.014236
[11:49:12.960] Odometry x=0.000470, y=-0.000050, theta=-0.014823
[11:49:12.970] Odometry x=0.000471, y=-0.000050, theta=-0.015241
[11:49:12.980] Odometry x=0.000472, y=-0.000050, theta=-0.015871
[11:49:12.990] Odometry x=0.000473, y=-0.000050, theta=-0.016615
[11:49:13.000] Odometry x=0.000473, y=-0.000050, theta=-0.017130
[11:49:13.010] Odometry x=0.000473, y=-0.000050, theta=-0.018139
[11:49:13.021] Odometry x=0.000473, y=-0.000051, theta=-0.019590
[11:49:13.022] Init: px average disparity is:10.603272 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:13.022] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:13.041] Odometry x=0.000559, y=-0.000053, theta=-0.023058
[11:49:13.051] Odometry x=0.000559, y=-0.000053, theta=-0.025384
[11:49:13.061] Odometry x=0.000559, y=-0.000054, theta=-0.026743
[11:49:13.071] Odometry x=0.000559, y=-0.000054, theta=-0.027869
[11:49:13.082] Odometry x=0.000559, y=-0.000054, theta=-0.028975
[11:49:13.092] Odometry x=0.000559, y=-0.000054, theta=-0.030297
[11:49:13.102] Odometry x=0.000559, y=-0.000054, theta=-0.031846
[11:49:13.112] Odometry x=0.000559, y=-0.000054, theta=-0.033011
[11:49:13.117] Init: px average disparity is:12.588370 ,While minimum is: 40.000000  KLT tracked : 98
[11:49:13.117] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:13.132] Odometry x=0.000633, y=-0.000056, theta=-0.037007
[11:49:13.142] Odometry x=0.000633, y=-0.000056, theta=-0.039233
[11:49:13.152] Odometry x=0.000633, y=-0.000056, theta=-0.040117
[11:49:13.163] Odometry x=0.000633, y=-0.000056, theta=-0.040797
[11:49:13.173] Odometry x=0.000633, y=-0.000056, theta=-0.041495
[11:49:13.183] Odometry x=0.000633, y=-0.000057, theta=-0.042336
[11:49:13.193] Odometry x=0.000633, y=-0.000057, theta=-0.043112
[11:49:13.203] Odometry x=0.000633, y=-0.000057, theta=-0.043537
[11:49:13.213] Odometry x=0.000633, y=-0.000057, theta=-0.043699
[11:49:13.220] Init: px average disparity is:12.079123 ,While minimum is: 40.000000  KLT tracked : 97
[11:49:13.220] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:13.234] Odometry x=0.000723, y=-0.000062, theta=-0.044695
[11:49:13.244] Odometry x=0.000724, y=-0.000062, theta=-0.045547
[11:49:13.254] Odometry x=0.000724, y=-0.000063, theta=-0.046441
[11:49:13.264] Odometry x=0.000724, y=-0.000063, theta=-0.047626
[11:49:13.274] Odometry x=0.000724, y=-0.000063, theta=-0.048905
[11:49:13.284] Odometry x=0.000725, y=-0.000063, theta=-0.050115
[11:49:13.294] Odometry x=0.000725, y=-0.000063, theta=-0.050904
[11:49:13.304] Odometry x=0.000725, y=-0.000063, theta=-0.051223
[11:49:13.312] Init: px average disparity is:14.656323 ,While minimum is: 40.000000  KLT tracked : 97
[11:49:13.312] Init: distance between the first and current frame is x:0.000000 ,z=0.000000,angle between two frames: 0.000000 
[11:49:13.315] Odometry x=0.000725, y=-0.000063, theta=-0.051593
[11:49:13.335] Odometry x=0.000811, y=-0.000068, theta=-0.053185
[11:49:13.345] Odometry x=0.000811, y=-0.000068, theta=-0.054382
[11:49:13.355] Odometry x=0.000811, y=-0.000068, theta=-0.055217
